번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),파일명,한국어
419,1,2017,정면,단어,KETI_SL_0000000419.MOV,화재
1255,2,2017,정면,단어,KETI_SL_0000001255.MTS,화재
2032,3,2017,정면,단어,KETI_SL_0000002032.MOV,화재
2932,4,2017,정면,단어,KETI_SL_0000002932.MOV,화재
3760,5,2017,정면,단어,KETI_SL_0000003760.MOV,화재
4607,6,2017,정면,단어,KETI_SL_0000004607.MOV,화재
5445,7,2017,정면,단어,KETI_SL_0000005445.MOV,화재
6284,8,2017,정면,단어,KETI_SL_0000006284.MOV,화재
7123,9,2017,정면,단어,KETI_SL_0000007123.MOV,화재
7961,10,2017,정면,단어,KETI_SL_0000007961.MOV,화재
418,1,2017,정면,단어,KETI_SL_0000000418.MOV,화장실
1254,2,2017,정면,단어,KETI_SL_0000001254.MTS,화장실
2031,3,2017,정면,단어,KETI_SL_0000002031.MOV,화장실
2931,4,2017,정면,단어,KETI_SL_0000002931.MOV,화장실
3759,5,2017,정면,단어,KETI_SL_0000003759.MOV,화장실
4606,6,2017,정면,단어,KETI_SL_0000004606.MOV,화장실
5444,7,2017,정면,단어,KETI_SL_0000005444.MOV,화장실
6283,8,2017,정면,단어,KETI_SL_0000006283.MOV,화장실
7122,9,2017,정면,단어,KETI_SL_0000007122.MOV,화장실
7960,10,2017,정면,단어,KETI_SL_0000007960.MOV,화장실
417,1,2017,정면,단어,KETI_SL_0000000417.MOV,화요일
1253,2,2017,정면,단어,KETI_SL_0000001253.MTS,화요일
2030,3,2017,정면,단어,KETI_SL_0000002030.MOV,화요일
2930,4,2017,정면,단어,KETI_SL_0000002930.MOV,화요일
3758,5,2017,정면,단어,KETI_SL_0000003758.MOV,화요일
4605,6,2017,정면,단어,KETI_SL_0000004605.MOV,화요일
5443,7,2017,정면,단어,KETI_SL_0000005443.MOV,화요일
6282,8,2017,정면,단어,KETI_SL_0000006282.MOV,화요일
7121,9,2017,정면,단어,KETI_SL_0000007121.MOV,화요일
7959,10,2017,정면,단어,KETI_SL_0000007959.MOV,화요일
416,1,2017,정면,단어,KETI_SL_0000000416.MOV,화약
1252,2,2017,정면,단어,KETI_SL_0000001252.MTS,화약
2029,3,2017,정면,단어,KETI_SL_0000002029.MOV,화약
2929,4,2017,정면,단어,KETI_SL_0000002929.MOV,화약
3757,5,2017,정면,단어,KETI_SL_0000003757.MOV,화약
4604,6,2017,정면,단어,KETI_SL_0000004604.MOV,화약
