번호,언어 제공자 ID,취득연도,방향,타입(단어/문장),파일명,한국어
419,1,2017,정면,단어,KETI_SL_0000000419.MOV,1
1255,2,2017,정면,단어,KETI_SL_0000001255.MTS,1
2032,3,2017,정면,단어,KETI_SL_0000002032.MOV,1
2932,4,2017,정면,단어,KETI_SL_0000002932.MOV,1
3760,5,2017,정면,단어,KETI_SL_0000003760.MOV,1
4607,6,2017,정면,단어,KETI_SL_0000004607.MOV,1
5445,7,2017,정면,단어,KETI_SL_0000005445.MOV,1
6284,8,2017,정면,단어,KETI_SL_0000006284.MOV,1
7123,9,2017,정면,단어,KETI_SL_0000007123.MOV,1
7961,10,2017,정면,단어,KETI_SL_0000007961.MOV,1
418,1,2017,정면,단어,KETI_SL_0000000418.MOV,2
1254,2,2017,정면,단어,KETI_SL_0000001254.MTS,2
2031,3,2017,정면,단어,KETI_SL_0000002031.MOV,2
2931,4,2017,정면,단어,KETI_SL_0000002931.MOV,2
3759,5,2017,정면,단어,KETI_SL_0000003759.MOV,2
4606,6,2017,정면,단어,KETI_SL_0000004606.MOV,2
5444,7,2017,정면,단어,KETI_SL_0000005444.MOV,2
6283,8,2017,정면,단어,KETI_SL_0000006283.MOV,2
7122,9,2017,정면,단어,KETI_SL_0000007122.MOV,2
7960,10,2017,정면,단어,KETI_SL_0000007960.MOV,2
417,1,2017,정면,단어,KETI_SL_0000000417.MOV,3
1253,2,2017,정면,단어,KETI_SL_0000001253.MTS,3
2030,3,2017,정면,단어,KETI_SL_0000002030.MOV,3
2930,4,2017,정면,단어,KETI_SL_0000002930.MOV,3
3758,5,2017,정면,단어,KETI_SL_0000003758.MOV,3
4605,6,2017,정면,단어,KETI_SL_0000004605.MOV,3
5443,7,2017,정면,단어,KETI_SL_0000005443.MOV,3
6282,8,2017,정면,단어,KETI_SL_0000006282.MOV,3
7121,9,2017,정면,단어,KETI_SL_0000007121.MOV,3
7959,10,2017,정면,단어,KETI_SL_0000007959.MOV,3
416,1,2017,정면,단어,KETI_SL_0000000416.MOV,4
1252,2,2017,정면,단어,KETI_SL_0000001252.MTS,4
2029,3,2017,정면,단어,KETI_SL_0000002029.MOV,4
2929,4,2017,정면,단어,KETI_SL_0000002929.MOV,4
3757,5,2017,정면,단어,KETI_SL_0000003757.MOV,4
4604,6,2017,정면,단어,KETI_SL_0000004604.MOV,4
5442,7,2017,정면,단어,KETI_SL_0000005442.MOV,4
6281,8,2017,정면,단어,KETI_SL_0000006281.MOV,4
7120,9,2017,정면,단어,KETI_SL_0000007120.MOV,4
7958,10,2017,정면,단어,KETI_SL_0000007958.MOV,4
415,1,2017,정면,단어,KETI_SL_0000000415.MOV,5
1251,2,2017,정면,단어,KETI_SL_0000001251.MTS,5
2028,3,2017,정면,단어,KETI_SL_0000002028.MOV,5
2928,4,2017,정면,단어,KETI_SL_0000002928.MOV,5
3756,5,2017,정면,단어,KETI_SL_0000003756.MOV,5
4603,6,2017,정면,단어,KETI_SL_0000004603.MOV,5
5441,7,2017,정면,단어,KETI_SL_0000005441.MOV,5
6280,8,2017,정면,단어,KETI_SL_0000006280.MOV,5
7119,9,2017,정면,단어,KETI_SL_0000007119.MOV,5
7957,10,2017,정면,단어,KETI_SL_0000007957.MOV,5
414,1,2017,정면,단어,KETI_SL_0000000414.MOV,6
1250,2,2017,정면,단어,KETI_SL_0000001250.MTS,6
2027,3,2017,정면,단어,KETI_SL_0000002027.MOV,6
2927,4,2017,정면,단어,KETI_SL_0000002927.MOV,6
3755,5,2017,정면,단어,KETI_SL_0000003755.MOV,6
4602,6,2017,정면,단어,KETI_SL_0000004602.MOV,6
5440,7,2017,정면,단어,KETI_SL_0000005440.MOV,6
6279,8,2017,정면,단어,KETI_SL_0000006279.MOV,6
7118,9,2017,정면,단어,KETI_SL_0000007118.MOV,6
7956,10,2017,정면,단어,KETI_SL_0000007956.MOV,6
413,1,2017,정면,단어,KETI_SL_0000000413.MOV,7
1249,2,2017,정면,단어,KETI_SL_0000001249.MTS,7
2026,3,2017,정면,단어,KETI_SL_0000002026.MOV,7
2926,4,2017,정면,단어,KETI_SL_0000002926.MOV,7
3754,5,2017,정면,단어,KETI_SL_0000003754.MOV,7
4601,6,2017,정면,단어,KETI_SL_0000004601.MOV,7
5439,7,2017,정면,단어,KETI_SL_0000005439.MOV,7
6278,8,2017,정면,단어,KETI_SL_0000006278.MOV,7
7117,9,2017,정면,단어,KETI_SL_0000007117.MOV,7
7955,10,2017,정면,단어,KETI_SL_0000007955.MOV,7
412,1,2017,정면,단어,KETI_SL_0000000412.MOV,8
1248,2,2017,정면,단어,KETI_SL_0000001248.MTS,8
2025,3,2017,정면,단어,KETI_SL_0000002025.MOV,8
2925,4,2017,정면,단어,KETI_SL_0000002925.MOV,8
3753,5,2017,정면,단어,KETI_SL_0000003753.MOV,8
4600,6,2017,정면,단어,KETI_SL_0000004600.MOV,8
5438,7,2017,정면,단어,KETI_SL_0000005438.MOV,8
6277,8,2017,정면,단어,KETI_SL_0000006277.MOV,8
7116,9,2017,정면,단어,KETI_SL_0000007116.MOV,8
7954,10,2017,정면,단어,KETI_SL_0000007954.MOV,8
